type,year,country,series,value,id,image,feature,volume
RE,2014,Andorra,AND-01,2.0,RE2014AND-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/ad_2euro.jpg,,
RE,2014,Andorra,AND-01,1.0,RE2014AND-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_1euro.jpg,,
RE,2014,Andorra,AND-01,0.5,RE2014AND-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_50cent.jpg,,
RE,2014,Andorra,AND-01,0.2,RE2014AND-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_20cent.jpg,,
RE,2014,Andorra,AND-01,0.1,RE2014AND-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_10cent.jpg,,
RE,2014,Andorra,AND-01,0.05,RE2014AND-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_5cent.jpg,,
RE,2014,Andorra,AND-01,0.02,RE2014AND-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_2cent.jpg,,
RE,2014,Andorra,AND-01,0.01,RE2014AND-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/ad/Andorra_1cent.jpg,,
RE,2002,Austria,AUT-01,2.0,RE2002AUT-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_2Euro.jpg,,
RE,2002,Austria,AUT-01,1.0,RE2002AUT-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_1Euro.jpg,,
RE,2002,Austria,AUT-01,0.5,RE2002AUT-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_50cent.jpg,,
RE,2002,Austria,AUT-01,0.2,RE2002AUT-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_20cent.jpg,,
RE,2002,Austria,AUT-01,0.1,RE2002AUT-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_10cent.jpg,,
RE,2002,Austria,AUT-01,0.05,RE2002AUT-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_5cent.jpg,,
RE,2002,Austria,AUT-01,0.02,RE2002AUT-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_2cent.jpg,,
RE,2002,Austria,AUT-01,0.01,RE2002AUT-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/at/Austria_1cent.jpg,,
RE,1999,Belgium,BEL-01,2.0,RE1999BEL-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_2euroAl.jpg,,
RE,2008,Belgium,BEL-02,2.0,RE2008BEL-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_2euro_2008.jpg,,
RE,2014,Belgium,BEL-03,2.0,RE2014BEL-A-RE3-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_2euro_2014ph.jpg,,
RE,1999,Belgium,BEL-01,1.0,RE1999BEL-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_1999_1euro.gif,,
RE,2008,Belgium,BEL-02,1.0,RE2008BEL-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_1euro_2011.jpg,,
RE,2014,Belgium,BEL-03,1.0,RE2014BEL-A-RE3-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_1euro_2014.jpg,,
RE,1999,Belgium,BEL-01,0.5,RE1999BEL-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_50cent_2002.jpg,,
RE,2008,Belgium,BEL-02,0.5,RE2008BEL-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_50cent_2008.jpg,,
RE,2014,Belgium,BEL-03,0.5,RE2014BEL-A-RE3-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_50cent_2014.jpg,,
RE,1999,Belgium,BEL-01,0.2,RE1999BEL-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_20cent_2002.jpg,,
RE,2008,Belgium,BEL-02,0.2,RE2008BEL-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_20cent_2009.jpg,,
RE,2014,Belgium,BEL-03,0.2,RE2014BEL-A-RE3-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_20cent_2014.jpg,,
RE,1999,Belgium,BEL-01,0.1,RE1999BEL-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_10cent_1999.jpg,,
RE,2008,Belgium,BEL-02,0.1,RE2008BEL-A-RE2-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/be/Belgium_10cent_2008.jpg,,
