name,id,date
Joro,RE2008CYP-A-RE1-100,2025-06-03 18:54:55
Marina,RE2022FRA-A-RE2-200,2025-05-22 12:25:53
Lili,RE2023HRV-A-RE1-050,2025-04-18 20:16:10
Lili,CC2011ESP-A-CC1-200,2025-04-18 20:13:29
Lili,CC2015ESP-A-CC1-200,2025-04-18 20:12:32
Marina,RE2023HRV-A-RE1-200,2024-09-10 06:35:27
Marina,RE2023HRV-A-RE1-100,2024-09-10 06:35:25
Marina,RE2023HRV-A-RE1-050,2024-09-10 06:35:21
Marina,RE2023HRV-A-RE1-020,2024-09-10 06:35:19
Marina,RE2023HRV-A-RE1-010,2024-09-10 06:35:16
Marina,RE2023HRV-A-RE1-005,2024-09-10 06:35:13
Marina,RE2023HRV-A-RE1-002,2024-09-10 06:35:11
Marina,RE2023HRV-A-RE1-001,2024-09-10 06:35:08
Marina,CC2022GRC-A-CC1-200,2024-09-09 22:39:24
Marina,CC2023FRA-A-CC1-200,2024-09-09 22:38:51
Marina,CC2023ITA-A-CC2-200,2024-09-09 22:38:14
Marina,CC2013DEU-A-CC2-200,2024-09-09 22:35:10
Niki,CC2012BEL-A-CC1-200,2024-07-15 08:48:58
Niki,CC2023DEU-A-CC2-200,2024-07-15 08:38:58
Niki,CC2022DEU-A-CC1-200,2024-07-15 08:38:44
Niki,CC2017DEU-A-CC1-200,2024-07-15 08:38:23
Niki,RE2023HRV-A-RE1-020,2024-07-15 08:37:10
Drago,CC2022GRC-A-ERA-200,2024-07-14 14:09:44
Joro,RE2014LVA-A-RE1-050,2024-02-28 21:15:36
Joro,CC2014ESP-A-CC1-200,2024-02-28 21:11:43
Drago,CC2016AUT-A-CC1-200,2024-02-05 11:23:12
Drago,CC2018ITA-A-CC1-200,2024-02-05 11:22:42
Drago,RE2007FIN-A-RE2-200,2024-02-05 11:21:44
Drago,CC2009AUT-A-EMU-200,2024-02-05 11:19:28
Drago,CC2012FRA-A-TYE-200,2024-02-05 11:18:52
Lili,CC2011BEL-A-CC1-200,2023-10-24 23:17:45
Lili,CC2018FRA-A-CC2-200,2023-10-24 23:16:39
Marina,CC2009ITA-A-EMU-200,2023-09-11 12:03:17
Lili,CC2016GRC-A-CC1-200,2023-09-06 08:45:49
Marina,CC2012CYP-A-TYE-200,2023-06-28 23:18:08
Joro,RE2015LTU-A-RE1-020,2023-06-27 14:16:37
Marina,CC2005AUT-A-CC1-200,2023-06-02 16:49:15
Joro,RE2002LUX-A-RE1-020,2023-04-17 20:16:04
Joro,RE2014LVA-A-RE1-100,2023-04-17 20:13:49
Joro,RE2008CYP-A-RE1-010,2023-04-17 19:58:49
Lili,CC2017FRA-A-CC2-200,2023-04-17 15:11:27
Lili,CC2019DEU-A-CC2-200,2023-04-17 14:55:54
Joro,RE2005VAT-A-RE2-050,2022-11-20 13:57:50
Joro,RE2005VAT-A-RE2-010,2022-11-20 13:57:32
Joro,RE2005VAT-A-RE2-002,2022-11-20 13:57:26
Joro,RE2005VAT-A-RE2-200,2022-11-20 13:57:16
Joro,RE2005VAT-A-RE2-100,2022-11-20 13:57:10
Joro,RE2005VAT-A-RE2-020,2022-11-20 13:57:03
Joro,RE2005VAT-A-RE2-005,2022-11-20 13:56:59
Joro,RE2005VAT-A-RE2-001,2022-11-20 13:56:51
Joro,RE2008CYP-A-RE1-005,2022-05-28 15:47:22
Joro,RE2015LTU-A-RE1-100,2022-05-28 15:46:28
Niki,CC2017GRC-A-CC1-200,2022-01-06 14:56:50
Drago,CC2017GRC-A-CC1-200,2022-01-06 14:56:34
Lili,CC2007FRA-A-TOR-200,2022-01-06 14:48:26
Tsetso,RE2015LTU-A-RE1-020,2020-05-29 19:29:34
Tsetso,CC2009BEL-A-CC1-200,2020-03-01 12:27:13
Tsetso,CC2018FRA-A-CC2-200,2020-01-09 17:23:05
Drago,CC2013ITA-A-CC1-200,2020-01-07 08:16:51
Drago,RE2011EST-A-RE1-200,2020-01-07 08:16:20
Joro,RE2009SVK-A-RE1-001,2020-01-04 17:22:38
Joro,RE2002LUX-A-RE1-002,2020-01-04 17:21:08
Tsetso,CC2019DEU-A-CC2-200,2019-12-21 15:02:47
Niki,CC2017FRA-A-CC2-200,2019-12-09 08:25:54
Niki,CC2019DEU-A-CC2-200,2019-12-09 08:25:17
Lili,RE2015LTU-A-RE1-020,2019-11-25 19:55:30
Marina,RE2014AND-A-RE1-020,2019-10-30 07:07:32
Marina,RE2014AND-A-RE1-002,2019-10-30 07:07:15
Niki,CC2017CYP-A-CC1-200,2019-10-14 08:10:04
Niki,CC2016LUX-A-CC1-200,2019-10-14 08:09:09
Joro,RE2007FIN-A-RE2-005,2019-09-27 18:22:28
Niki,CC2012IRL-A-TYE-200,2019-09-14 07:05:41
Drago,CC2007FRA-A-TOR-200,2019-09-10 08:56:55
Niki,CC2015ITA-A-CC1-200,2019-09-10 08:56:25
Marina,CC2018DEU-A-CC2-200,2019-09-10 08:55:50
Lili,CC2017DEU-A-CC1-200,2019-08-24 10:14:57
Niki,CC2014ITA-A-CC1-200,2019-07-08 09:16:34
Joro,RE2009SVK-A-RE1-100,2019-06-23 17:49:44
Drago,CC2009BEL-A-EMU-200,2019-05-25 21:00:27
Drago,CC2018SVN-A-CC1-200,2019-05-23 13:58:50
Drago,CC2015DEU-A-EUF-200,2019-05-15 09:21:44
Drago,CC2010DEU-A-CC1-200,2019-05-15 09:20:36
Drago,CC2004ITA-A-CC1-200,2019-05-15 09:20:01
Marina,CC2017DEU-A-CC1-200,2019-05-13 09:50:52
Marina,RE2015LTU-A-RE1-100,2019-05-13 09:47:35
Tsetso,CC2009BEL-A-EMU-200,2019-05-06 20:41:51
Lili,RE2014LVA-A-RE1-100,2019-04-25 16:39:36
Lili,RE2015LTU-A-RE1-200,2019-04-25 14:51:06
Marina,CC2019DEU-A-CC1-200,2019-04-19 09:37:21
Marina,RE2015LTU-A-RE1-010,2018-12-06 11:54:46
Tsetso,CC2015LTU-A-EUF-200,2018-11-24 15:54:04
Tsetso,CC2016IRL-A-CC1-200,2018-10-20 18:59:47
Drago,CC2013NLD-A-CC1-200,2018-09-25 09:58:30
Marina,CC2016FRA-A-CC1-200,2018-09-23 11:41:51
Lili,CC2018DEU-A-CC1-200,2018-08-22 10:44:10
Marina,CC2018DEU-A-CC1-200,2018-07-18 11:22:56
Niki,CC2018DEU-A-CC1-200,2018-07-13 09:19:36
Tsetso,CC2018DEU-A-CC1-200,2018-07-02 00:17:45
Joro,RE2002LUX-A-RE1-100,2018-06-07 21:28:35
Niki,RE2014LVA-A-RE1-100,2018-05-21 13:32:16
Tsetso,RE2015ESP-A-RE3-100,2018-05-07 12:35:15
Lili,CC2015DEU-A-EUF-200,2018-05-02 13:48:05
Drago,CC2016DEU-A-CC1-200,2018-04-27 10:12:20
Tsetso,CC2012SVK-A-TYE-200,2018-04-23 00:20:13
Marina,RE2014NLD-A-RE2-100,2018-04-14 22:55:58
Marina,CC2016IRL-A-CC1-200,2018-04-14 11:17:14
Drago,CC2012ITA-A-TYE-200,2018-03-16 11:53:35
Tsetso,CC2018DEU-A-CC2-200,2018-02-21 16:53:22
Joro,RE2015ESP-A-RE3-100,2018-01-13 11:56:19
Marina,CC2015AUT-A-EUF-200,2017-12-13 10:54:35
Niki,CC2016AUT-A-CC1-200,2017-12-13 10:52:40
Lili,RE2015ESP-A-RE3-100,2017-12-13 08:53:50
Drago,CC2013NLD-A-CC2-200,2017-12-11 10:48:26
Drago,RE2008CYP-A-RE1-200,2017-12-08 12:00:58
Marina,RE2014BEL-A-RE3-050,2017-12-06 20:10:44
Lili,CC2016AUT-A-CC1-200,2017-11-29 10:56:16
Jonko,RE2015ESP-A-RE3-100,2017-11-27 16:17:11
Niki,RE2015ESP-A-RE3-100,2017-11-27 16:16:35
Marina,CC2014FRA-A-CC1-200,2017-11-25 23:46:04
Marina,CC2014ESP-A-CC2-200,2017-11-25 13:12:27
Joro,RE2014ESP-A-RE2-050,2017-11-04 21:48:59
Joro,RE2014LVA-A-RE1-010,2017-11-04 21:48:43
Jonko,CC2012DEU-A-TYE-200,2017-09-26 08:57:11
Jonko,CC2017DEU-A-CC1-200,2017-09-26 08:55:35
Joro,RE2002IRL-A-RE1-200,2017-08-16 21:08:47
Marina,RE2007SVN-A-RE1-200,2017-08-13 23:44:40
Lili,CC2014SVN-A-CC1-200,2017-07-24 09:16:08
Lili,CC2016DEU-A-CC1-200,2017-07-24 09:10:50
Lili,CC2016SVN-A-CC1-200,2017-07-24 09:09:46
Lili,CC2015AUT-A-EUF-200,2017-07-24 09:09:33
Tsetso,CC2007BEL-A-TOR-200,2017-07-22 17:05:24
Jonko,CC2016AUT-A-CC1-200,2017-07-18 19:41:24
Jonko,RE2014ESP-A-RE2-020,2017-07-17 00:32:11
Lili,RE2014ESP-A-RE2-020,2017-07-12 17:43:10
Drago,CC2007GRC-A-TOR-200,2017-07-11 14:58:08
Joro,RE2014AND-A-RE1-020,2017-06-29 16:05:49
Joro,CC2010FRA-A-CC1-200,2017-06-25 16:04:41
Joro,RE2002LUX-A-RE1-200,2017-06-25 16:04:00
Joro,RE2014ESP-A-RE2-100,2017-06-25 15:59:31
Joro,RE2007SVN-A-RE1-100,2017-06-10 13:25:07
Joro,RE2007SVN-A-RE1-010,2017-06-10 13:24:13
Lili,RE2007FIN-A-RE2-020,2017-06-06 10:03:31
Lili,RE1999FIN-A-RE1-010,2017-06-06 10:03:21
Lili,RE2007FIN-A-RE2-005,2017-06-06 10:03:08
Jonko,RE2011EST-A-RE1-100,2017-06-05 13:54:26
Niki,RE2014LVA-A-RE1-020,2017-06-05 13:54:17
Marina,CC2016FIN-A-CC2-200,2017-06-05 13:52:04
Marina,RE2014LVA-A-RE1-100,2017-06-05 13:51:08
Tsetso,RE2009SVK-A-RE1-010,2017-05-28 21:21:52
Joro,RE2014ESP-A-RE2-010,2017-05-07 15:39:59
Joro,RE2014ESP-A-RE2-020,2017-05-07 15:38:24
Joro,RE2014ESP-A-RE2-200,2017-05-07 15:23:13
Niki,CC2013DEU-A-CC2-200,2017-05-05 13:28:05
Marina,CC2012ITA-A-TYE-200,2017-05-05 13:27:21
Marina,RE2015LTU-A-RE1-002,2017-04-30 15:02:11
Marina,RE2015LTU-A-RE1-001,2017-04-30 15:02:03
Lili,RE2011EST-A-RE1-005,2017-04-03 15:14:56
Drago,CC2009DEU-A-CC1-200,2017-04-03 14:26:43
Drago,CC2014DEU-A-CC1-200,2017-04-03 14:26:26
Drago,CC2008DEU-A-CC1-200,2017-04-03 14:26:11
Drago,RE2009SVK-A-RE1-200,2017-04-03 14:25:44
Marina,CC2016DEU-A-CC1-200,2017-04-03 08:51:29
Lili,RE2014ESP-A-RE2-050,2017-03-27 16:14:29
Lili,RE2014ESP-A-RE2-010,2017-03-27 16:14:21
Jonko,CC2013MCO-A-CC1-200,2017-03-27 11:49:37
Marina,RE2014LVA-A-RE1-200,2017-03-27 11:41:51
Marina,RE2015ESP-A-RE3-100,2017-03-27 11:40:58
Niki,CC2013MCO-A-CC1-200,2017-03-22 13:14:16
Niki,CC2011PRT-A-CC1-200,2017-03-22 13:13:57
Niki,CC2014FRA-A-CC1-200,2017-03-22 13:13:27
Lili,RE2009SVK-A-RE1-002,2017-03-20 09:01:14
Marina,RE2009SVK-A-RE1-002,2017-03-19 20:03:49
Marina,CC2016AUT-A-CC1-200,2017-03-19 20:00:49
Tsetso,CC2017DEU-A-CC1-200,2017-03-13 21:46:34
Joro,RE2002LUX-A-RE1-005,2017-03-10 19:20:26
Joro,CC2006DEU-A-CC1-200,2017-03-10 19:18:55
Joro,CC2015DEU-A-CC1-200,2017-03-10 19:18:20
Joro,CC2012DEU-A-CC1-200,2017-03-10 19:17:29
Jonko,CC2015FRA-A-CC1-200,2017-03-06 12:37:24
Jonko,CC2014FRA-A-CC1-200,2017-03-06 12:37:19
Marina,CC2007IRL-A-TOR-200,2017-02-10 10:44:59
Lili,CC2012FRA-A-TYE-200,2017-02-10 10:10:59
Niki,CC2016DEU-A-CC1-200,2017-02-10 10:07:12
Jonko,RE2014ESP-A-RE2-100,2017-01-04 23:58:18
Drago,RE2002LUX-A-RE1-200,2016-12-14 18:00:26
Drago,CC2007DEU-A-CC1-200,2016-10-25 13:48:39
Drago,RE2002PRT-A-RE1-200,2016-10-25 13:48:09
Lili,CC2014DEU-A-CC1-200,2016-10-24 13:13:31
Niki,CC2014DEU-A-CC1-200,2016-10-24 10:58:58
Drago,CC2015DEU-A-CC2-200,2016-10-17 15:06:23
Drago,CC2007DEU-A-TOR-200,2016-10-17 15:05:54
Drago,RE1999FIN-A-RE1-200,2016-10-17 15:05:20
Joro,RE2002PRT-A-RE1-001,2016-10-16 12:49:01
Joro,RE2002PRT-A-RE1-002,2016-10-16 12:48:33
Joro,RE2007SVN-A-RE1-005,2016-10-16 12:47:53
Joro,RE2002PRT-A-RE1-020,2016-10-16 12:47:04
Joro,RE2008BEL-A-RE2-100,2016-10-16 12:45:32
Joro,CC2012AUT-A-TYE-200,2016-10-16 12:44:32
Marina,RE2015LTU-A-RE1-200,2016-10-16 00:45:19
Marina,RE2014ESP-A-RE2-020,2016-10-14 16:15:30
Marina,RE2014LVA-A-RE1-020,2016-10-12 23:15:40
Marina,CC2015DEU-A-EUF-200,2016-10-11 10:45:37
Jonko,RE2014BEL-A-RE3-005,2016-09-30 09:51:30
Drago,CC2009DEU-A-EMU-200,2016-09-14 18:56:21
Lili,RE1999FIN-A-RE1-050,2016-09-12 09:35:28
Lili,RE2014ESP-A-RE2-100,2016-09-12 09:35:13
Drago,RE1999BEL-A-RE1-200,2016-09-09 12:26:45
Drago,RE2007SVN-A-RE1-200,2016-09-09 12:26:15
Drago,RE1999FRA-A-RE1-200,2016-09-09 12:26:01
Drago,CC2010BEL-A-CC1-200,2016-09-09 12:25:42
Drago,CC2006DEU-A-CC1-200,2016-09-09 12:25:23
Drago,RE2002GRC-A-RE1-200,2016-09-09 12:25:03
Drago,CC2004GRC-A-CC1-200,2016-09-09 12:24:35
Tsetso,RE2014NLD-A-RE2-200,2016-09-08 09:07:39
Marina,RE2014ESP-A-RE2-100,2016-09-03 00:36:52
Marina,RE2014ESP-A-RE2-200,2016-08-28 00:34:04
Marina,RE2015LTU-A-RE1-020,2016-08-28 00:28:12
